,text,favourite_count,retweet_count,created_at
31,"Great Mace Weapon Location

https://t.co/U5GAZNy8Hc

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/ru92bn0Ovk",0,1,2022-03-16 20:48:42
32,"Cerulean Amber Medallion +2 Talisman Location

https://t.co/VE943SFwDd

#EldenRing #エルデンリング #Elden #Ring… https://t.co/U0GiIV5gv1",0,1,2022-03-16 20:27:43
33,"Graven-School Talisman Location

https://t.co/nrvvx6cS8X

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/A5vHRq4e2G",0,1,2022-03-16 20:24:36
34,"Comet Spell Location

https://t.co/RNdpMBY4IN

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation… https://t.co/JcXFuIUWOT",0,1,2022-03-16 20:18:55
35,"Twinsage Sorcerer Ashes Summon Location

https://t.co/OkRdmiNB9i

#EldenRing #エルデンリング #Elden #Ring #PlayStation5… https://t.co/I9JxnqCo1x",0,1,2022-03-16 20:14:11
36,"#Elden #million #Entertainment
Elden Ring Has Now Bought 12-Million Models Worldwide 
https://t.co/8nayefN7Wm",0,0,2022-03-16 20:07:21
37,"RT @Axiom_G: Ash of War: Blood Blade Location

https://t.co/nzkIgQbrZk

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #S…",0,0,2022-03-16 19:55:23
38,"Ash of War: Blood Blade Location

https://t.co/nzkIgQbrZk

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/yvUTODpoLr",1,2,2022-03-16 19:52:47
39,"RT @lhzwsfc: #eldenring
#elden ring ranni
#ranni https://t.co/4G2betkYkg",0,0,2022-03-16 19:48:38
40,"Ash of War: Giant Hunt Location

https://t.co/lszZUdJp0u

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/GXOvcrErJo",0,1,2022-03-16 19:18:42
41,"Nightrider Glaive Weapon Location

https://t.co/gppTvTQcHT

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5… https://t.co/KXZJSPzaVK",0,1,2022-03-16 19:17:23
42,Get ready for some elden ring today! I’ll let y’all know and hr before I stream! Thanks #SmallStreamersConnect… https://t.co/dLWg1ez9xq,0,0,2022-03-16 19:15:36
43,Elden Ring Tricksters Are Blowing Themselves Up To Score PvP Kills https://t.co/vqUWRrD6YG #eldenring #elden #ring… https://t.co/FTc8wQH3SY,0,0,2022-03-16 19:01:03
44,It's showtime! Playing #Elden Ring https://t.co/x951Xz8MFy https://t.co/zL5SBLjkLJ,0,0,2022-03-16 18:59:48
45,"RT @Axiom_G: How to Walk Through Lava Fast @BandaiNamcoEU @BandaiNamcoUS @BandaiNamcoUK 

https://t.co/UZmib22OBT

#EldenRing #エルデンリング #Eld…",0,0,2022-03-16 18:55:32
46,"RT @Axiom_G: How to Walk Through Lava Fast @BandaiNamcoEU @BandaiNamcoUS @BandaiNamcoUK 

https://t.co/UZmib22OBT

#EldenRing #エルデンリング #Eld…",0,0,2022-03-16 18:49:43
47,"How to Walk Through Lava Fast @BandaiNamcoEU @BandaiNamcoUS @BandaiNamcoUK 

https://t.co/UZmib22OBT

#EldenRing… https://t.co/mv2zV4IokZ",1,2,2022-03-16 18:47:14
48,RT @MLopez_Art: Hands plus #Elden ring sketches https://t.co/fyW0KhBBGB,0,0,2022-03-16 17:24:44
49,"#ELDEN RING
https://t.co/Ues3iVJqbS",0,0,2022-03-16 17:02:34
50,"#ELDEN RING
https://t.co/n4ZGFYqLQ3",0,0,2022-03-16 17:00:27
51,Elden Ring Not Hard Enough? This Mod Has You Covered https://t.co/iQQwCebxs4 #mod #eldenring #ring #elden #videogamemods,0,0,2022-03-16 16:42:05
52,"Cleanrot Knight #ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #actionrpg #Sword #PS4share
https://t.co/qI3RhqY9sl",0,0,2022-03-16 14:46:01
53,My #Elden journey going strong!! https://t.co/aoWIZjADP7,0,0,2022-03-16 14:44:15
54,"Elden Ring Leonine Misbegotten First Attempt and Ash Of War Stomp. #ELDENRING 

 #Elden... https://t.co/2bRyqpTh3F via @YouTube",0,0,2022-03-16 14:39:37
55,"#eldenring
#elden ring ranni
#ranni https://t.co/4G2betkYkg",103,4,2022-03-16 13:50:29
56,How To Get To Oridy’s Rise and a Memory Stone - ELDEN RING-[EASY] #elden... https://t.co/WXjG0Iditb via @YouTube,1,0,2022-03-16 12:57:45
57,New #YouTube video out now! #twitch #Elden Ring | Full Playthrough (Part 4) ScotiTM - PS5 Gameplay https://t.co/4G93lTF2PC,0,0,2022-03-16 12:36:30
58,"Stillwater Cave #ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #actionrpg #Sword  #PS4share
https://t.co/ZUG9M3K3ip",1,0,2022-03-16 12:20:08
59,"Elden Ring mod pits bosses against each other #Elden #removes #Ring
https://t.co/u1rfs6RCwr https://t.co/99HfvAg4cT",0,0,2022-03-16 12:03:28
60,"RT @SweetDarling_PH: We have an accord!

The whole cosplay project was funded by one Tarnished! People willing to support and trust me like…",0,0,2022-03-16 11:51:18
61,"FromSoftware wants #Elden Ring to expand “beyond the realm of games”. We all know what that means, right? 

Read:… https://t.co/SSRtO1vNcz",0,0,2022-03-16 11:44:11
62,Come watch as we play Elden Ring and just as confused and lost as before. https://t.co/oU1FLQbZiH #eldenring #elden… https://t.co/mAZSwFCvZH,0,0,2022-03-16 11:04:37
63,"Exploring the Map#ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #actionrpg #Sword #PS4share
https://t.co/PAIb2Wb2zd",0,0,2022-03-16 10:58:35
64,Elden Ring Has Already Sold 12 Million Copies Worldwide https://t.co/1gVq8qHOSY #Copies #Elden #million #ring #Sold… https://t.co/FAAwl2YnBM,0,0,2022-03-16 07:45:17
65,"I Reached Level 100 On Elden Ring; My Review!
https://t.co/4Z6VhDz3MW

#elden #ring #eldenring #review #gamereview… https://t.co/FdYuIUcqFk",1,0,2022-03-16 07:31:25
66,RT @Akidrds: Melina 0.0 I love her #melina #eldenring #Elden #Ring https://t.co/dTyjCqDU3F https://t.co/hIgF2Dr6dv,0,0,2022-03-16 06:33:46
67,"RT @FriendOrFoeGam1: This game is a bit weird #ps4 #playstation #gaming #EldenRing #Elden #Ring #DarkSouls #Soulslike #ER #PS4share
https:/…",0,0,2022-03-16 06:19:19
68,RT @satoshinakA355: Savanasushi is streaming Elden Ring on DLive! https://t.co/oiwBb4DmPW #Elden Ring,0,0,2022-03-16 05:58:49
69,"#Elden #Sells #Entertainment
Elden Ring Sells Astonishing Quantity Of Copies 
https://t.co/spQbl6Opiu",0,0,2022-03-16 04:37:22
70,"#PS4share　＃エルデンリング　＃ELDEN RING

https://t.co/zcsRAKK8Nd https://t.co/lzpvJ7cxFw",2,0,2022-03-16 04:15:16
71,For my Queen 🙏🏽❤️ @NICKIMINAJ @ELDENRING @EldenRingRPG #barb #Barbz #Barbz #DoWeHaveAProblem #Bussin #NickiMinaj… https://t.co/sFGAwISSV7,0,0,2022-03-16 03:36:27
72,"#Elden #Expand #Entertainment
Elden Ring Will Increase ""Past the Realm of Video games"", Says Creators 
https://t.co/ZLh2WnsvsX",0,0,2022-03-16 03:33:52
73,"RT @Axiom_G: Ash of War: Ice Spear Location

https://t.co/1G8PkCxUM5

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #Ste…",0,0,2022-03-16 03:13:03
74,"RT @Axiom_G: Rotten Duelist Set (Armor &amp; Weapons)

https://t.co/ZFb0dJwWxd

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStatio…",0,0,2022-03-16 03:13:01
75,"RT @Axiom_G: Eclipse Shotel Weapon Location (Overpowered PvP Weapon) in Elden Ring!

https://t.co/JRfNU65NSC

#EldenRing #エルデンリング #Elden #R…",0,0,2022-03-16 03:12:59
76,"RT @Axiom_G: Converted Fringe Tower Puzzle (Cannon of Haima &amp; Gavel of Haima)

https://t.co/Z8ryfEBGkM

#EldenRing #エルデンリング #Elden #Ring #P…",0,0,2022-03-16 03:12:58
77,"RT @Axiom_G: Chelona's Rise Puzzle (Ranni's Dark Moon)

https://t.co/V1cqrn6dr1

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayS…",0,0,2022-03-16 03:12:54
